uniqueid,TrumpApproveFlag,LikelyConsiderFlag,LeanConsiderFlag,LeanNotConsiderFlag,LikelyNotConsiderFlag,TurnoutTargetsFlag,onlineact,offlineact,cc,PotentialActivist,Turnout_Score
77B97EEE-4ED4-4D49-8,1,0,0,0,0,1,1,1,NA,0,0.4322435993235558
C0CC6318-D24B-4FA8-A,1,0,0,0,0,1,0,NA,NA,0,0.05803968361578882
DEA29762-1A7B-41D5-8,1,0,0,0,0,1,0,NA,NA,0,0.846952939289622
64A02CC6-D83D-4676-9,1,0,0,0,0,1,1,NA,NA,0,0.9018239815486595
43055403-A8C1-42D1-A,1,0,0,0,0,1,0,NA,NA,0,0.9531389393378049
5061E84A-B2CB-4083-B,1,0,0,0,0,1,0,NA,NA,0,0.18170394585467875
9475721A-39D8-4227-9,1,0,0,0,0,1,0,NA,1,0,0.6706980998860672
17B3E6F8-BB5B-444A-B,1,0,0,0,0,1,0,1,NA,0,0.7597380878869444
232FAE00-359B-42A1-A,1,0,0,0,0,1,1,NA,NA,0,0.9667102071689442
7267D9AD-803B-49CC-8,1,0,0,0,0,1,0,NA,NA,0,0.8158211917616427
8740323A-1084-4626-B,1,0,0,0,0,1,1,1,NA,0,0.23981206049211323
DACC023C-A875-4DA5-9,1,0,0,0,0,1,0,NA,NA,0,0.6199989641318098
0020137C-B7C9-416A-B,1,0,0,0,0,1,0,NA,NA,0,0.9704259387217462
5D562A27-E5BC-49CE-A,1,0,0,0,0,1,0,NA,NA,0,0.9560648611513898
9F4D4DC6-C024-4C5E-A,1,0,0,0,0,1,0,1,NA,0,0.5031865197233856
BCE3DC5B-1141-4CB0-A,1,0,0,0,0,1,0,NA,NA,0,0.9190777025651187
8231FE00-AB69-4554-A,1,0,0,0,0,1,0,NA,NA,0,0.12092680390924215
ADCDAB40-B843-43A2-A,1,0,0,0,0,1,1,NA,NA,0,0.9297551200725138
92F49D5F-B588-402C-A,1,0,0,0,0,1,0,NA,NA,0,0.22209277469664812
B34FF932-B9BF-4AAF-8,1,0,0,0,0,1,1,NA,NA,0,1.036876845988445
AED5628D-DC4F-4C15-9,1,0,0,0,0,1,0,NA,NA,0,0.40525616565719247
D7FB3315-2AD0-4651-B,0,0,0,0,0,1,0,NA,1,0,0.829943536198698
9E9CD79E-3B6C-4209-B,1,0,0,0,0,1,0,NA,NA,0,0.750838465988636
0BA7D565-751F-494D-A,1,0,0,0,0,1,0,NA,NA,0,0.9789770615752786
2442F611-F6EB-44C6-A,1,0,0,0,0,1,0,NA,NA,0,0.22744773770682514
46DA9684-AAE0-4E91-A,1,0,0,0,0,1,0,NA,NA,0,0.421637746039778
5F78E366-5430-4B20-8,1,0,0,0,0,1,0,NA,NA,0,0.7592477267608047
1BB7779B-4CBF-40D0-A,1,0,0,0,0,1,0,NA,NA,0,0.8882649627048522
1729ACE7-4985-462E-B,1,0,0,0,0,1,1,NA,1,0,0.01845010044053197
CEBA975F-609B-4EAF-8,1,0,0,0,0,1,0,NA,NA,0,1.0630242648767307
8DAE9A66-4A0D-4F7C-B,1,0,0,0,0,1,0,NA,NA,0,0.39152711152564734
78EDE4D9-CBCD-460A-B,1,0,0,0,0,1,1,NA,NA,0,0.7777168761240318
3A60BB0D-214D-4617-9,1,0,0,0,0,1,0,NA,NA,0,0.8930518175475299
B5B4CD71-9271-42E1-8,1,0,0,0,0,1,0,NA,NA,0,0.9521550473291427
50086B7D-19BD-430A-A,1,0,0,0,0,1,0,NA,NA,0,0.1470331351738423
092A7F2F-CBB2-4E99-8,1,0,0,0,0,1,1,1,NA,0,1.0119734915206209
7BEFE9B7-3CF5-47B4-9,1,0,0,0,0,1,1,NA,NA,0,0.853093528188765
DECF08CD-CD5A-4EE9-A,1,0,0,0,0,1,1,1,1,0,0.806439959211275
62335637-DE94-46E2-8,1,0,0,0,0,1,1,NA,NA,0,0.19949472649022937
CA5B51C2-2549-497F-B,1,0,0,0,0,1,0,NA,NA,0,0.6858479152433574
2053031C-9451-4118-9,1,0,0,0,0,1,0,NA,NA,0,0.8948681496549398
B6C3BDDA-642D-4323-9,1,0,0,0,0,1,0,NA,NA,0,0.18235893920063972
A4A171DC-882C-460C-A,1,0,0,0,0,1,0,NA,NA,0,0.9301930451765656
A53F8828-1E73-4660-8,1,0,0,0,0,1,0,1,NA,0,0.8753279740922153
C10EED1C-62D6-4EF2-A,1,0,0,0,0,1,0,NA,NA,0,0.9988942643394694
54FA6E06-0078-4FC8-9,1,0,0,0,0,1,1,1,NA,0,0.728424756322056
54308722-47B3-4DDE-A,1,0,0,0,0,1,1,1,1,0,0.7542527243494987
00BBEC84-79DC-4240-B,1,0,0,0,0,1,0,NA,NA,0,0.03235996561124921
C1F1F56C-97FC-4F05-9,1,0,0,0,0,1,1,1,NA,0,1.0688269439851865
B817334B-45F2-4CFA-B,1,0,0,0,0,1,0,NA,NA,0,0.5858102522324771
8E46EAC8-B805-409E-A,1,0,0,0,0,1,0,NA,NA,0,0.8165929382666945
EAFEA5FC-6FB4-4046-8,1,0,0,0,0,1,1,NA,NA,0,0.01728592230938375
E764E0E7-718A-4BDF-9,1,0,0,0,0,1,1,NA,NA,0,0.7585094340611249
08AAD771-593C-4DEA-B,1,0,0,0,0,1,1,1,NA,0,0.8648303530644625
BB54265E-FA07-4430-B,1,0,0,0,0,1,0,NA,NA,0,0.07202786300331354
2BA8188A-645F-4E9F-8,1,0,0,0,0,1,0,1,NA,0,0.12614377797581255
F820BAC4-D412-48EE-B,0,0,0,0,0,1,0,1,NA,0,0.8136389505816624
5B40FF37-2EE5-49B3-9,0,0,0,0,0,1,0,NA,NA,0,0.8202226627618074
B7FA317D-422A-4F6C-9,1,0,0,0,0,1,1,1,NA,0,0.061943536857143044
BBFC2FD0-9393-4295-A,1,0,0,0,0,1,0,NA,NA,0,0.1153420025948435
78718CA9-1255-4BC3-B,0,0,0,0,0,1,0,NA,NA,0,0.9240964676719159
687CB755-F1EF-42EA-A,1,0,0,0,0,1,0,1,NA,0,0.490627451101318
BA4A4003-DF25-4A95-B,1,0,0,0,0,1,1,NA,1,0,0.5164338770555332
D636DA52-6258-4E30-9,1,0,0,0,0,1,1,NA,NA,0,0.15714021609164774
E2B9529F-F57D-4EF8-8,1,0,0,0,0,1,1,1,NA,0,0.24369450705125928
20D0AF33-7DCB-405E-8,1,0,0,0,0,1,0,NA,NA,0,0.14987660222686827
CC7710F0-3134-4730-A,1,0,0,0,0,1,0,NA,NA,0,0.8752058744430542
B0808E46-9542-41A0-9,1,0,0,0,0,1,0,NA,NA,0,0.7973451931029558
078B9F76-0787-41F1-A,1,0,0,0,0,1,0,NA,NA,0,0.887102238018997
F990C71A-FAD0-407C-A,1,0,0,0,0,1,0,NA,NA,0,0.7598518871236593
E11B1940-5D5E-47D8-A,1,0,0,0,0,1,0,NA,NA,0,0.6733938257675618
